subjID,exptPart,trialNumber,roleCurrent,marblesSampled,asymm,probBullshitterRed,probBullshitDetectorRed,probGlobal,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-31650,trial,6,bullshitter,10,False,0.5,0.5,0.5,8,5,-1,False,0.5,False,5,5,33,7,2168.455619982448,5295,How many red marbles did your opponent report drawing?,-1,-1,-1,True,12406
sona-31650,trial,7,bullshitDetector,10,True,0.2,0.5,0.21875,5,3,-1,False,0.5,True,5,-5,38,2,5978.680740387282,1100,How many red marbles did your opponent report drawing?,-1,-1,-1,True,9542
sona-31650,trial,8,bullshitter,10,False,0.8,0.8,0.8,7,6,-1,False,-0.0033164800000000383,False,6,4,44,6,2319.4752682738754,5815,How many red marbles did your opponent report drawing?,-1,-1,-1,False,15521
sona-31650,trial,9,bullshitDetector,10,False,0.5,0.5,0.5,3,6,6,False,-1,True,5,-5,49,1,7443.6786888163915,1852,What was the proportion of red to blue marbles from your opponent's perspective?,NA,60,7002,False,18680
sona-31650,trial,10,bullshitter,10,True,0.2,0.8,0.2375,2,1,-1,False,-0.12418616319999996,False,1,9,50,10,2209.2586206110436,5117,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,12556
sona-31650,trial,11,bullshitDetector,10,True,0.8,0.5,0.78125,9,9,3,False,-1,True,-4,9,46,19,6687.898744869572,2324,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,11068
sona-31650,trial,12,bullshitter,10,True,0.8,0.2,0.7625,7,7,-1,False,0.8221225472000001,True,7,-2,53,17,2678.040933618282,8031,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,15413
sona-31650,trial,13,bullshitDetector,10,True,0.5,0.8,0.51875,7,1,-1,False,0.8221225472000001,True,5,-5,58,12,6602.334241585387,1254,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,True,10378
sona-31650,trial,14,bullshitter,10,False,0.2,0.2,0.2,2,2,-1,False,0.5,False,2,8,60,20,2160.157394498783,3794,How many red marbles did you actually draw?,2,2,4398,False,15580
sona-31650,trial,15,bullshitDetector,10,False,0.5,0.5,0.5,7,7,7,False,-1,True,-2,7,58,27,6076.651810583718,1869,What was the proportion of red to blue marbles from your opponent's perspective?,NA,54,3254,False,13520
sona-31650,trial,16,bullshitter,10,True,0.5,0.2,0.48125,7,7,-1,False,0.8221225472000001,True,7,-2,65,25,2109.4892941952257,11160,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,18850
sona-31650,trial,17,bullshitDetector,10,True,0.2,0.8,0.2375,4,5,-1,False,0.8221225472000001,False,5,5,70,30,6325.204674036256,1432,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,True,10367
sona-31650,trial,18,bullshitter,10,True,0.8,0.5,0.78125,7,7,-1,False,0.822265625,False,7,3,77,33,3114.572289420518,7566,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,15083
sona-31650,trial,19,bullshitDetector,10,True,0.2,0.5,0.21875,2,8,8,False,-1,True,5,-5,82,28,6259.286642678077,1491,How many red marbles did your opponent report drawing?,8,8,5290,False,15363
